epoch 25 | loss: 3013.302| train_rmsle: 1.89559 | train_mae: 51.71249| train_rmse: 52.539  | train_mse: 2760.34701| valid_rmsle: 1.65516 | valid_mae: 48.89915| valid_rmse: 49.7614 | valid_mse: 2476.19722|  0:00:03s
epoch 26 | loss: 2963.4502| train_rmsle: 1.85929 | train_mae: 51.27893| train_rmse: 52.10466| train_mse: 2714.8952| valid_rmsle: 1.60189 | valid_mae: 48.02861| valid_rmse: 48.96357| valid_mse: 2397.4308|  0:00:03s
epoch 27 | loss: 2987.15015| train_rmsle: 1.90119 | train_mae: 51.56822| train_rmse: 52.41417| train_mse: 2747.24491| valid_rmsle: 1.60198 | valid_mae: 47.71826| valid_rmse: 48.76188| valid_mse: 2377.72073|  0:00:03s
epoch 28 | loss: 2952.49414| train_rmsle: 1.91658 | train_mae: 51.54527| train_rmse: 52.42917| train_mse: 2748.81833| valid_rmsle: 1.58613 | valid_mae: 47.1639 | valid_rmse: 48.33675| valid_mse: 2336.44138|  0:00:03s
epoch 29 | loss: 2873.54688| train_rmsle: 1.9033  | train_mae: 51.06849| train_rmse: 52.04376| train_mse: 2708.55336| valid_rmsle: 1.5279  | valid_mae: 45.97982| valid_rmse: 47.29051| valid_mse: 2236.39195|  0:00:03s
epoch 30 | loss: 2892.56543| train_rmsle: 1.89967 | train_mae: 50.80628| train_rmse: 51.84983| train_mse: 2688.4052| valid_rmsle: 1.52722 | valid_mae: 45.52421| valid_rmse: 46.88882| valid_mse: 2198.56149|  0:00:03s
epoch 31 | loss: 2823.33667| train_rmsle: 1.91267 | train_mae: 50.83466| train_rmse: 51.93414| train_mse: 2697.15456| valid_rmsle: 1.57616 | valid_mae: 45.63049| valid_rmse: 47.13352| valid_mse: 2221.56868|  0:00:03s
epoch 32 | loss: 2784.1709| train_rmsle: 1.82659 | train_mae: 49.74185| train_rmse: 50.95702| train_mse: 2596.61749| valid_rmsle: 1.51454 | valid_mae: 44.45871| valid_rmse: 46.15884| valid_mse: 2130.63868|  0:00:04s
epoch 33 | loss: 2752.50342| train_rmsle: 1.7999  | train_mae: 49.26131| train_rmse: 50.55162| train_mse: 2555.46658| valid_rmsle: 1.58222 | valid_mae: 44.62624| valid_rmse: 46.61335| valid_mse: 2172.80466|  0:00:04s
epoch 34 | loss: 2673.54883| train_rmsle: 1.7314  | train_mae: 48.4066 | train_rmse: 49.72336| train_mse: 2472.41208| valid_rmsle: 1.536   | valid_mae: 43.96842| valid_rmse: 46.00161| valid_mse: 2116.14834|  0:00:04s
